bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
Golden Saber,12.76,AR-15,803.77,9.66,11.72,Concrete,14.0,37
V-Crown,11.22,Springfield XD,447.31,7.58,11.26,Brick,3.0,37
BTHP,11.18,Remington 870,584.29,9.16,7.15,Brick,17.0,41
PolyCase ARX,15.0,Ruger SR9,592.9,2.0,11.0,Kevlar,15.0,19
JHP,11.53,Remington 700,300.0,5.9,11.39,Concrete,34.0,20
Black Talon,11.78,Colt 1911,660.56,4.14,9.42,Sand,16.0,46
Hydra-Shok,5.0,Winchester Model 70,622.66,11.56,9.19,Metal,11.0,35
ELD-M,13.0,Barrett M82,630.5,13.4,10.46,Wood,13.0,73
Critical Defense,10.2,Sig Sauer P320,364.26,10.64,8.44,Rubber,19.0,64
AMAX,8.76,Benelli M4,557.39,7.48,12.34,Sand,37.0,53
Hydra-Shok,8.02,Colt 1911,465.41,5.04,9.97,Sand,1.0,45
SP,7.35,Kel-Tec KSG,518.63,11.51,9.13,Concrete,52.0,10
Golden Saber,12.77,M16,344.56,12.18,9.71,Concrete,2.0,19
HST,8.91,Walther PPQ,461.95,7.62,12.0,Wood,8.0,56
AP,7.46,M4 Carbine,695.38,8.24,9.71,Wood,8.0,90
V-Crown,6.69,Colt 1911,300.0,6.6,9.1,Wood,15.0,58
AMAX,9.51,HK USP,426.81,9.66,6.83,Ceramic,9.0,16
AP,7.92,FN Five-seveN,627.75,6.45,10.34,Ceramic,5.0,35
JHP,7.24,AK-47,300.0,7.68,9.43,Kevlar,6.0,27
V-MAX,5.0,Mossberg 500,580.07,3.32,7.61,Brick,84.0,17
Extreme Point,11.88,Winchester Model 70,593.81,9.05,10.87,Brick,36.0,37
TMJ,8.59,Colt 1911,469.37,15.01,7.82,Metal,33.0,37
AP,5.74,Smith & Wesson M&P,560.25,9.39,8.71,Ceramic,11.0,20
Extreme Point,8.19,Ruger SR9,825.73,12.17,10.94,Wood,55.0,43
V-Crown,10.65,Smith & Wesson M&P,365.53,11.05,10.93,Glass,1.0,89
Critical Defense,9.09,Springfield XD,300.0,7.51,10.16,Kevlar,3.0,15
JHP,9.57,Glock 17,415.1,7.95,9.46,Brick,6.0,18
TMJ,9.13,Remington 870,301.1,5.81,9.05,Kevlar,21.0,16
AP,5.17,Ruger SR9,577.0,11.91,8.25,Rubber,4.0,58
Golden Saber,11.85,Smith & Wesson M&P,408.9,9.87,9.43,Kevlar,8.0,29
Ranger T-Series,5.0,Remington 700,622.62,12.01,12.12,Brick,4.0,24
Hydra-Shok,10.38,Remington 700,558.24,8.43,7.79,Ceramic,32.0,26
AMAX,10.85,Winchester Model 70,362.96,2.0,6.0,Rubber,48.0,53
Golden Saber,8.34,Springfield XD,315.48,5.11,8.51,Metal,38.0,20
PowerBond,10.06,Mossberg 500,300.0,12.01,13.05,Glass,1.0,80
Partition,8.17,M4 Carbine,710.28,7.21,9.2,Glass,8.0,115
AMAX,10.1,Smith & Wesson M&P,604.89,12.25,10.03,Wood,20.0,72
PolyCase ARX,11.98,HK416,417.84,13.64,10.16,Sand,1.0,32
Ranger T-Series,6.62,AR-15,621.25,11.72,8.63,Brick,27.0,43
Critical Duty,11.02,Springfield XD,300.0,11.57,12.7,Sand,41.0,22
V-Crown,14.08,AK-47,325.03,2.0,9.53,Sand,2.0,63
Hydra-Shok,9.79,Barrett M82,305.05,7.07,12.15,Sand,11.0,28
PolyCase ARX,7.49,AR-15,555.32,7.98,10.1,Water,7.0,60
AccuBond,15.0,Smith & Wesson M&P,379.07,11.58,10.18,Kevlar,59.0,21
Partition,9.27,Dragunov SVD,300.0,8.45,7.93,Sand,8.0,39
Critical Duty,9.69,Mossberg 500,518.27,2.02,12.04,Rubber,17.0,56
BTHP,9.76,Smith & Wesson M&P,614.61,2.11,9.63,Metal,1.0,37
Hydra-Shok,10.34,SCAR-L,472.81,6.06,10.28,Rubber,36.0,52
Critical Duty,7.98,AR-15,727.95,18.75,13.4,Concrete,1.0,34
FMJ,9.57,SCAR-L,660.56,9.12,10.55,Rubber,17.0,38
Partition,11.86,Winchester Model 70,723.74,10.05,10.36,Rubber,27.0,67
ELD-M,7.88,Glock 17,656.76,2.1,11.96,Glass,10.0,82
BTHP,7.74,CZ 75,547.17,12.41,11.33,Glass,1.0,72
AccuBond,8.12,HK416,300.0,6.73,9.08,Brick,46.0,26
FMJ,5.71,Sig Sauer P320,430.77,14.02,8.85,Brick,9.0,12
Critical Defense,6.95,Ruger SR9,397.52,3.03,10.89,Ceramic,13.0,18
AMAX,6.83,CZ 75,322.3,7.62,8.9,Metal,34.0,20
AccuBond,9.0,Springfield XD,385.04,5.95,10.09,Water,22.0,42
EFMJ,11.51,Dragunov SVD,300.0,10.54,7.49,Water,8.0,51
Gold Dot,13.36,M16,676.79,11.92,13.37,Concrete,16.0,39
HST,9.17,Mossberg 500,300.0,5.48,8.74,Metal,2.0,28
AMAX,10.37,Barrett M82,662.66,11.22,11.19,Sand,13.0,52
SP,9.73,M4 Carbine,765.35,13.68,11.26,Sand,11.0,43
SP,5.0,FN Five-seveN,346.77,11.92,13.49,Metal,29.0,37
FMJ,5.56,HK USP,389.1,5.71,10.64,Brick,32.0,17
BT,11.28,Colt 1911,599.71,6.3,9.21,Concrete,41.0,18
TMJ,11.58,Walther PPQ,412.7,7.15,9.92,Wood,39.0,33
ELD-M,11.51,HK416,340.04,11.79,8.26,Ceramic,100.0,2
BTHP,8.47,Beretta 92FS,588.19,9.72,12.65,Wood,25.0,62
ELD-M,5.0,HK USP,351.88,2.97,9.37,Rubber,19.0,43
BTHP,5.91,Colt 1911,927.55,7.94,13.52,Sand,3.0,57
AMAX,6.37,Sig Sauer P320,612.34,14.54,8.69,Sand,13.0,45
Critical Defense,10.89,CZ 75,633.86,11.94,14.0,Metal,11.0,41
JHP,7.93,CZ 75,482.04,5.6,8.64,Water,27.0,48
FMJ,14.07,M4 Carbine,872.6,2.0,8.53,Glass,6.0,89
Ranger T-Series,13.4,Beretta 92FS,351.47,6.0,8.72,Kevlar,41.0,19
PowerBond,14.02,FN Five-seveN,652.13,7.99,8.66,Concrete,5.0,23
PowerBond,6.25,M16,300.0,6.35,10.74,Ceramic,13.0,13
AccuBond,10.47,M4 Carbine,958.72,4.07,8.35,Rubber,58.0,50
BT,7.57,Glock 17,663.98,10.34,7.7,Sand,8.0,26
SP,9.98,Ruger SR9,312.03,2.0,8.19,Brick,26.0,38
Critical Defense,6.58,CZ 75,605.14,12.49,14.0,Kevlar,8.0,18
AMAX,12.68,M4 Carbine,712.55,11.02,7.74,Metal,14.0,54
Extreme Point,6.64,Ruger SR9,321.19,9.71,10.38,Concrete,30.0,21
SP,5.0,Springfield XD,407.94,10.38,8.17,Metal,34.0,29
FMJ,15.0,HK416,301.3,6.86,10.92,Wood,37.0,37
SP,10.33,AK-47,595.77,7.89,10.32,Metal,2.0,47
BT,5.79,Springfield XD,536.43,13.88,13.33,Rubber,39.0,30
Hydra-Shok,8.51,M16,506.28,7.39,9.12,Metal,3.0,61
Golden Saber,7.27,AR-15,338.89,9.54,10.85,Concrete,6.0,36
SP,9.02,Remington 700,458.62,10.11,12.09,Kevlar,71.0,6
FMJ,11.41,Remington 700,356.86,8.42,9.26,Glass,3.0,61
BT,10.94,Kel-Tec KSG,596.94,7.14,10.42,Concrete,6.0,18
PowerBond,9.76,AR-15,300.0,2.0,6.99,Brick,8.0,32
Golden Saber,9.02,SCAR-L,340.21,11.26,10.89,Glass,33.0,85
ELD-M,12.24,Kel-Tec KSG,663.06,12.31,10.36,Water,8.0,72
BTHP,5.0,Smith & Wesson M&P,412.02,8.29,8.48,Brick,35.0,22
Hydra-Shok,6.75,Winchester Model 70,852.18,12.97,7.53,Water,5.0,66
Hydra-Shok,6.06,HK USP,539.21,9.52,9.45,Glass,18.0,75
TMJ,12.02,SCAR-L,300.0,2.0,7.62,Sand,64.0,31
Critical Duty,6.78,AR-15,300.0,3.78,10.2,Sand,1.0,49
Gold Dot,5.14,Colt 1911,381.94,6.04,11.24,Rubber,48.0,52
ELD-M,10.65,Mossberg 500,648.54,5.56,6.49,Wood,4.0,79
HST,6.27,Glock 17,628.23,8.3,8.32,Brick,17.0,28
Black Talon,7.95,AK-47,403.27,4.33,13.21,Glass,1.0,109
AP,15.0,Walther PPQ,746.47,14.81,11.22,Water,17.0,50
BT,11.36,Sig Sauer P320,565.75,2.0,7.16,Ceramic,19.0,8
PowerBond,8.37,HK416,436.17,7.68,9.02,Sand,33.0,30
ELD-M,8.64,SCAR-L,734.62,5.0,6.38,Brick,11.0,35
Critical Duty,11.72,Benelli M4,338.52,2.79,12.29,Sand,49.0,46
Hydra-Shok,10.99,Ruger SR9,611.02,10.36,9.97,Wood,9.0,76
EFMJ,9.23,M4 Carbine,631.43,3.95,10.26,Ceramic,2.0,12
AP,9.31,Barrett M82,623.69,8.16,12.39,Glass,10.0,87
Critical Duty,5.0,AK-47,468.88,4.2,9.54,Kevlar,7.0,10
ELD-M,5.0,Winchester Model 70,674.19,2.0,10.55,Wood,12.0,46
Gold Dot,8.47,Springfield XD,868.32,7.11,12.18,Rubber,4.0,59
Extreme Point,7.1,Colt 1911,468.94,9.22,8.36,Ceramic,9.0,30
JHP,10.76,FN Five-seveN,513.5,5.61,7.51,Brick,43.0,33
TMJ,9.59,Springfield XD,685.02,13.27,13.59,Kevlar,21.0,25
Critical Duty,6.68,Remington 700,446.86,9.18,8.52,Metal,4.0,23
Partition,9.49,M16,441.4,10.9,6.0,Water,1.0,77
PolyCase ARX,7.75,M4 Carbine,300.0,5.37,8.56,Kevlar,5.0,23
V-MAX,15.0,Springfield XD,300.0,5.47,8.65,Metal,11.0,46
Critical Defense,10.16,Winchester Model 70,300.0,6.64,14.0,Concrete,9.0,5
Critical Defense,5.0,SCAR-L,672.55,6.59,11.1,Brick,38.0,23
Black Talon,14.46,Dragunov SVD,300.0,6.15,9.58,Water,18.0,71
EFMJ,7.1,Springfield XD,597.3,3.56,8.62,Water,37.0,36
PowerBond,6.08,M4 Carbine,797.07,11.16,11.37,Glass,100.0,48
Partition,15.0,Benelli M4,531.73,2.13,12.1,Brick,7.0,52
ELD-M,10.04,Winchester Model 70,323.52,10.5,10.99,Water,13.0,52
FMJ,11.1,Walther PPQ,473.54,11.32,11.84,Brick,24.0,28
FMJ,11.2,Dragunov SVD,575.97,6.85,13.1,Sand,14.0,44
Partition,8.38,Winchester Model 70,576.99,18.14,10.19,Metal,8.0,42
Partition,7.28,AR-15,523.41,8.04,8.99,Ceramic,34.0,17
Black Talon,7.77,Beretta 92FS,626.33,6.83,9.14,Glass,45.0,58
Critical Duty,13.83,AK-47,699.92,7.01,12.51,Kevlar,7.0,34
BTHP,9.61,AR-15,404.04,12.34,11.46,Concrete,7.0,37
SP,12.94,HK USP,780.95,6.94,10.3,Water,17.0,49
ELD-M,8.77,Springfield XD,565.92,10.54,8.92,Rubber,34.0,34
V-MAX,6.73,CZ 75,300.0,2.59,8.38,Rubber,15.0,38
AMAX,5.0,Colt 1911,462.43,8.59,10.0,Wood,1.0,70
BTHP,10.94,CZ 75,465.29,11.95,8.0,Ceramic,7.0,28
BT,14.08,AK-47,716.03,7.84,9.54,Metal,14.0,55
FMJ,6.34,Walther PPQ,383.75,4.97,12.39,Water,27.0,27
Gold Dot,10.54,FN Five-seveN,529.83,6.86,9.74,Ceramic,30.0,33
TMJ,5.0,Remington 700,300.0,2.3,9.52,Sand,28.0,14
Critical Defense,7.33,Beretta 92FS,333.96,11.65,10.29,Brick,2.0,37
AccuBond,9.8,Barrett M82,659.4,12.88,11.93,Wood,19.0,77
Hydra-Shok,5.0,SCAR-L,300.0,7.49,13.61,Water,11.0,54
Extreme Point,8.95,Kel-Tec KSG,693.19,14.05,7.69,Metal,8.0,33
AccuBond,6.49,Barrett M82,727.99,10.96,12.41,Rubber,35.0,46
BTHP,10.81,Ruger SR9,748.27,8.07,11.6,Glass,9.0,94
Black Talon,8.5,HK USP,809.06,13.38,7.53,Rubber,4.0,62
HST,11.82,Remington 870,655.04,10.85,8.05,Wood,24.0,72
HST,8.16,Dragunov SVD,585.09,12.75,11.91,Brick,3.0,42
Black Talon,5.0,Colt 1911,623.93,13.57,11.11,Sand,7.0,42
Critical Defense,5.0,Remington 700,514.26,7.04,6.53,Ceramic,12.0,19
ELD-M,5.0,AR-15,425.28,10.76,8.34,Rubber,3.0,68
JHP,10.9,AR-15,654.02,2.0,11.07,Sand,7.0,47
SP,15.0,SCAR-L,589.81,3.35,11.86,Brick,21.0,29
HST,10.31,HK416,676.06,10.02,10.8,Wood,16.0,78
BT,14.02,SCAR-L,458.28,9.45,6.0,Water,37.0,48
HST,12.4,SCAR-L,475.89,4.2,8.56,Rubber,3.0,72
AccuBond,7.44,Smith & Wesson M&P,542.3,6.49,8.04,Metal,40.0,15
HST,12.8,Desert Eagle,474.67,9.43,11.38,Wood,2.0,79
HST,7.56,Glock 17,1000.0,7.98,9.07,Brick,27.0,26
JHP,7.62,Colt 1911,886.89,7.09,11.07,Wood,5.0,60
JHP,8.37,Kel-Tec KSG,500.86,2.36,10.34,Concrete,47.0,15
Extreme Point,8.52,CZ 75,473.82,9.4,7.66,Kevlar,1.0,26
PowerBond,10.98,Walther PPQ,589.21,7.24,11.77,Rubber,17.0,55
BT,6.99,AR-15,414.11,16.69,12.33,Water,1.0,61
FMJ,11.67,Ruger SR9,410.74,13.62,11.87,Metal,27.0,24
FMJ,11.62,Remington 700,508.58,8.54,10.43,Sand,1.0,26
Gold Dot,10.03,FN Five-seveN,425.72,2.0,9.81,Rubber,26.0,48
JHP,14.82,Sig Sauer P320,536.75,17.7,8.78,Ceramic,33.0,22
PolyCase ARX,12.86,FN Five-seveN,574.02,11.27,12.53,Water,45.0,45
Critical Defense,12.21,SCAR-L,300.0,5.8,13.24,Metal,9.0,44
V-MAX,9.2,Smith & Wesson M&P,300.0,11.54,8.68,Wood,16.0,68
PowerBond,10.06,Winchester Model 70,330.46,11.18,7.82,Kevlar,26.0,21
AP,10.57,Walther PPQ,555.93,5.38,7.91,Sand,34.0,49
PowerBond,9.04,Desert Eagle,345.86,4.28,8.07,Rubber,31.0,42
EFMJ,7.87,Remington 700,962.02,10.97,10.66,Rubber,38.0,37
AccuBond,5.0,Springfield XD,678.93,12.3,7.37,Sand,46.0,29
HST,11.15,Smith & Wesson M&P,891.66,9.28,8.88,Kevlar,21.0,20
V-MAX,12.12,M4 Carbine,680.03,9.02,8.94,Kevlar,4.0,28
AccuBond,5.52,Kel-Tec KSG,300.0,13.42,10.35,Rubber,36.0,45
BT,10.82,Benelli M4,300.0,7.4,9.59,Ceramic,12.0,22
Black Talon,7.23,AK-47,397.72,2.0,10.9,Brick,1.0,39
JHP,7.9,HK USP,300.0,10.14,9.77,Ceramic,20.0,22
V-MAX,12.93,M4 Carbine,716.25,12.61,10.4,Water,26.0,81
Extreme Point,6.03,SCAR-L,468.3,9.9,13.86,Concrete,12.0,23
EFMJ,6.02,HK416,541.02,2.88,10.27,Metal,14.0,25
Ranger T-Series,14.41,Springfield XD,775.31,5.43,10.54,Glass,16.0,87
Ranger T-Series,8.56,Glock 17,885.34,7.44,14.0,Brick,6.0,33
FMJ,12.74,CZ 75,445.72,2.71,9.7,Concrete,9.0,28
BTHP,5.0,AR-15,300.0,5.69,12.94,Kevlar,33.0,21
V-MAX,5.0,SCAR-L,300.0,13.58,12.46,Metal,1.0,53
Ranger T-Series,6.26,Mossberg 500,729.88,4.02,8.12,Water,16.0,61
SP,7.56,Glock 17,553.12,6.81,10.3,Kevlar,1.0,-2
Black Talon,5.0,Winchester Model 70,321.99,10.87,11.28,Rubber,5.0,51
AP,10.11,Ruger SR9,641.59,2.0,11.88,Sand,9.0,51
Gold Dot,10.3,M16,300.0,13.42,8.42,Rubber,4.0,64
SP,6.31,Walther PPQ,300.0,5.53,8.42,Concrete,38.0,3
Gold Dot,6.54,Colt 1911,300.0,3.79,11.78,Glass,41.0,60
Black Talon,6.94,M16,300.0,13.55,7.98,Water,3.0,85
ELD-M,5.51,Barrett M82,731.46,11.49,9.35,Sand,45.0,42
Black Talon,5.0,M4 Carbine,459.49,3.9,7.15,Kevlar,5.0,13
BTHP,8.74,Kel-Tec KSG,493.24,6.47,8.34,Ceramic,1.0,23
FMJ,7.71,M16,537.39,9.13,9.51,Brick,27.0,14
AMAX,8.02,HK416,300.0,6.69,9.72,Brick,15.0,33
ELD-M,5.96,Mossberg 500,404.07,13.14,10.29,Ceramic,14.0,15
V-Crown,11.43,Walther PPQ,423.32,11.45,9.74,Glass,1.0,96
AMAX,15.0,SCAR-L,313.81,2.0,11.82,Concrete,77.0,20
FMJ,6.5,M4 Carbine,402.83,4.69,12.49,Sand,36.0,43
EFMJ,13.2,M16,475.67,5.84,8.6,Ceramic,68.0,15
Partition,10.1,Walther PPQ,450.43,6.12,6.65,Kevlar,6.0,23
Partition,9.11,AK-47,586.64,9.78,10.84,Sand,19.0,59
V-Crown,7.97,SCAR-L,402.87,12.54,12.04,Water,27.0,57
PowerBond,8.75,FN Five-seveN,808.97,5.44,8.45,Sand,33.0,45
TMJ,12.45,Desert Eagle,300.0,3.49,9.39,Sand,30.0,47
SP,5.59,Dragunov SVD,393.94,6.7,11.94,Concrete,17.0,17
ELD-M,8.17,Walther PPQ,578.8,2.0,12.22,Water,1.0,52
Ranger T-Series,12.75,HK416,623.52,10.79,10.94,Brick,100.0,-5
Ranger T-Series,11.95,Glock 17,300.0,7.5,10.08,Sand,2.0,67
Partition,5.63,Walther PPQ,479.45,6.34,9.03,Kevlar,4.0,27
Black Talon,8.45,CZ 75,659.91,8.88,10.44,Concrete,35.0,25
HST,11.18,FN Five-seveN,300.0,4.33,10.17,Brick,2.0,40
JHP,10.99,Remington 700,482.44,6.6,11.33,Wood,5.0,56
FMJ,11.93,Benelli M4,300.0,5.29,10.81,Glass,1.0,91
Ranger T-Series,10.15,Colt 1911,337.41,2.0,7.24,Brick,3.0,36
Critical Defense,10.66,Colt 1911,517.11,7.97,9.72,Metal,22.0,36
BT,10.03,Remington 700,456.53,18.07,12.61,Rubber,9.0,49
BT,13.74,Remington 870,300.0,8.11,6.0,Concrete,3.0,15
PowerBond,7.73,Desert Eagle,744.28,4.91,7.31,Sand,6.0,36
BTHP,9.14,HK416,433.27,8.23,7.99,Sand,28.0,24
BTHP,5.96,SCAR-L,609.98,3.62,11.33,Metal,16.0,39
SP,5.36,Glock 17,800.35,5.61,9.0,Glass,13.0,71
Gold Dot,9.97,AR-15,364.72,6.3,10.23,Water,1.0,59
Ranger T-Series,6.83,Colt 1911,623.12,5.78,10.99,Brick,14.0,22
Ranger T-Series,8.83,Ruger SR9,583.03,6.82,10.98,Glass,13.0,94
SP,13.85,Mossberg 500,300.0,10.76,8.68,Concrete,12.0,29
Black Talon,13.68,AR-15,741.45,6.37,9.37,Glass,13.0,115
AccuBond,15.0,CZ 75,520.19,6.82,9.6,Metal,2.0,51
Extreme Point,13.91,Springfield XD,393.43,2.0,13.31,Wood,54.0,30
AccuBond,15.0,Dragunov SVD,300.0,2.71,9.57,Glass,7.0,92
FMJ,10.31,M4 Carbine,300.0,8.33,11.23,Sand,21.0,17
AccuBond,6.29,Smith & Wesson M&P,478.3,12.57,11.43,Water,9.0,57
Black Talon,6.0,Walther PPQ,300.0,7.25,12.19,Sand,8.0,52
EFMJ,13.19,Colt 1911,626.55,7.7,11.76,Brick,26.0,32
HST,9.15,AK-47,424.2,2.32,10.11,Kevlar,11.0,32
AMAX,9.38,FN Five-seveN,300.0,4.72,10.99,Kevlar,19.0,16
AP,7.35,CZ 75,367.41,8.95,14.0,Water,6.0,63
V-MAX,7.71,Walther PPQ,300.0,12.81,8.52,Kevlar,6.0,29
AMAX,10.15,Walther PPQ,300.0,8.8,8.99,Concrete,4.0,36
Black Talon,5.83,Kel-Tec KSG,300.0,7.48,7.7,Sand,7.0,40
SP,9.77,HK416,519.9,9.03,10.37,Wood,1.0,65
Ranger T-Series,13.53,Dragunov SVD,309.23,3.96,9.07,Ceramic,2.0,19
Partition,5.0,AR-15,875.32,4.27,7.88,Rubber,38.0,59
SP,5.0,Beretta 92FS,698.52,7.08,10.02,Ceramic,7.0,19
Partition,11.03,Winchester Model 70,826.3,3.38,7.26,Brick,15.0,36
V-Crown,13.09,Barrett M82,643.11,10.8,12.52,Water,14.0,62
Golden Saber,7.53,FN Five-seveN,383.07,11.76,12.08,Water,20.0,26
V-Crown,5.0,Dragunov SVD,564.82,6.91,13.53,Kevlar,21.0,9
JHP,13.3,Beretta 92FS,439.45,11.02,14.0,Concrete,9.0,16
Extreme Point,6.57,Barrett M82,568.13,13.95,6.74,Rubber,3.0,55
SP,7.92,M16,678.25,9.61,9.68,Sand,4.0,34
Ranger T-Series,9.96,Smith & Wesson M&P,619.49,11.59,12.58,Metal,9.0,47
BTHP,7.0,HK USP,501.67,7.7,12.54,Rubber,16.0,35
AP,6.37,HK416,513.17,11.6,11.72,Ceramic,19.0,26
FMJ,6.43,FN Five-seveN,543.92,7.5,7.91,Glass,54.0,39
AP,14.57,Remington 700,721.17,5.21,10.56,Metal,7.0,47
FMJ,12.48,Smith & Wesson M&P,402.07,10.77,12.12,Wood,2.0,64
Golden Saber,10.72,Mossberg 500,448.26,8.88,9.31,Metal,15.0,45
PolyCase ARX,5.0,Remington 700,398.51,11.12,8.47,Kevlar,1.0,28
Ranger T-Series,10.73,AR-15,527.46,5.04,9.45,Wood,4.0,80
Black Talon,10.57,Ruger SR9,627.34,9.27,8.87,Water,16.0,53
AccuBond,5.17,AK-47,559.93,11.77,10.54,Concrete,52.0,29
AMAX,9.78,Dragunov SVD,488.46,6.22,7.13,Glass,4.0,83
ELD-M,12.15,Smith & Wesson M&P,714.55,11.2,13.28,Brick,9.0,26
SP,10.71,CZ 75,341.16,14.29,8.87,Metal,12.0,25
HST,6.96,Ruger SR9,300.0,5.64,7.97,Wood,61.0,38
FMJ,9.04,Walther PPQ,564.31,9.06,9.2,Water,27.0,37
Ranger T-Series,11.19,Sig Sauer P320,491.95,15.02,10.54,Sand,8.0,65
Critical Defense,9.18,AK-47,466.57,2.26,6.89,Glass,6.0,84
Gold Dot,12.76,Beretta 92FS,300.0,9.62,8.85,Glass,15.0,71
Extreme Point,10.19,Colt 1911,539.72,10.77,9.87,Sand,10.0,47
PowerBond,11.26,Sig Sauer P320,859.01,8.08,8.65,Rubber,19.0,38
Extreme Point,11.46,M16,300.0,16.95,8.08,Sand,15.0,53
Golden Saber,5.8,Colt 1911,468.58,9.96,11.89,Metal,1.0,48
V-MAX,9.15,Mossberg 500,515.1,13.38,11.85,Rubber,2.0,77
V-MAX,8.0,Barrett M82,411.21,11.33,11.82,Water,3.0,59
Critical Duty,12.13,Colt 1911,532.88,13.98,11.13,Concrete,21.0,25
Gold Dot,10.39,M16,410.59,8.7,7.62,Brick,76.0,23
Extreme Point,8.44,HK USP,530.72,2.78,9.95,Concrete,12.0,28
AMAX,5.15,Mossberg 500,449.02,10.19,12.71,Metal,3.0,50
JHP,5.0,Smith & Wesson M&P,392.43,2.0,7.58,Metal,19.0,23
PolyCase ARX,9.93,Springfield XD,484.58,6.66,8.03,Concrete,20.0,30
FMJ,6.85,CZ 75,596.25,6.13,10.54,Concrete,28.0,12
Hydra-Shok,11.0,Sig Sauer P320,300.0,6.45,11.52,Kevlar,25.0,31
FMJ,5.0,CZ 75,638.78,13.06,11.36,Brick,23.0,30
BT,13.78,Springfield XD,354.85,7.9,10.64,Brick,26.0,18
Ranger T-Series,10.99,M16,623.68,16.22,7.99,Brick,34.0,41
Gold Dot,9.3,Remington 700,366.04,7.74,10.98,Sand,45.0,30
